key,list_first_name,list_last_name,txn_first_name,txn_last_name,is_match
1,Aad,SMITH,Adriaan,SMITH,1
2,Aake,JOHNSON,Aarne,JOHNSON,1
3,Aake,WILLIAMS,Aarno,WILLIAMS,1
4,Aake,JONES,Arska,JONES,1
5,Aandrea,BROWN,Drea,BROWN,1
6,Aangelina,DAVIS,Ani,DAVIS,1
7,Aarne,MILLER,Aarno,MILLER,1
8,Aarne,WILSON,Arska,WILSON,1
9,Aaron,MOORE,Ron,MOORE,1
10,Aaron,TAYLOR,Ronald,TAYLOR,1
11,Aaron,ANDERSON,Ronny,ANDERSON,1
12,Aartsi,THOMAS,Arto,THOMAS,1
13,Ab,JACKSON,Abbe,JACKSON,1
14,Ab,WHITE,Abiel,WHITE,1
15,Ab,HARRIS,Abner,HARRIS,1
16,Ab,MARTIN,Abraham,MARTIN,1
17,Ab,THOMPSON,Absalom,THOMPSON,1
18,Ab,GARCIA,Appie,GARCIA,1
19,Ab,MARTINEZ,Bert,MARTINEZ,1
20,Ab,ROBINSON,Biel,ROBINSON,1
21,Ab,CLARK,Bram,CLARK,1
22,Ab,RODRIGUEZ,Eb,RODRIGUEZ,1
23,Abbe,LEWIS,Ab,LEWIS,1
24,Abbe,LEE,Abigail,LEE,1
25,Abbe,WALKER,Gail,WALKER,1
26,Abbe,HALL,Nabbe,HALL,1
27,Abbe,ALLEN,Tabitha,ALLEN,1
28,Abbey,YOUNG,Abbie,YOUNG,1
29,Abbey,HERNANDEZ,Abby,HERNANDEZ,1
30,Abbey,KING,Abigail,KING,1
31,Abbey,WRIGHT,Gail,WRIGHT,1
32,Abbey,LOPEZ,Nabby,LOPEZ,1
33,Abbie,HILL,Abi,HILL,1
34,Abby,SCOTT,Abbie,SCOTT,1
35,Abby,GREEN,Abi,GREEN,1
36,Abby,ADAMS,Abigail,ADAMS,1
37,Abby,BAKER,Gail,BAKER,1
38,Abby,GONZALEZ,Nabby,GONZALEZ,1
39,Abdol,NELSON,Aboli,NELSON,1
40,Abdoli,CARTER,Abdol,CARTER,1
41,Abdoli,MITCHELL,Aboli,MITCHELL,1
42,Abdollah,PEREZ,Abdol,PEREZ,1
43,Abdollah,ROBERTS,Abdoli,ROBERTS,1
44,Abdolreza,TURNER,Abdol,TURNER,1
45,Abdolreza,PHILLIPS,Abdoli,PHILLIPS,1
46,Abdolreza,CAMPBELL,Aboli,CAMPBELL,1
47,Abe,PARKER,Ab,PARKER,1
48,Abe,EVANS,Abram,EVANS,1
49,Abe,EDWARDS,Eb,EDWARDS,1
50,Abel,COLLINS,Ab,COLLINS,1
51,Abel,STEWART,Abe,STEWART,1
52,Abel,SANCHEZ,Eb,SANCHEZ,1
53,Abel,MORRIS,Ebbe,MORRIS,1
54,Abertina,ROGERS,Alberta,ROGERS,1
55,Abertina,REED,Elbert,REED,1
56,Abiah,COOK,Ab,COOK,1
57,Abiah,MORGAN,Abijah,MORGAN,1
58,Abiah,BELL,Biah,BELL,1
59,Abiah,MURPHY,Bige,MURPHY,1
60,Abigail,BAILEY,Ab,BAILEY,1
61,Abigail,RIVERA,Abbie,RIVERA,1
62,Abigail,COOPER,Abi,COOPER,1
63,Abigail,RICHARDSON,Tabitha,RICHARDSON,1
64,Abijah,COX,Ab,COX,1
65,Abijah,HOWARD,Biah,HOWARD,1
66,Abijah,WARD,Bige,WARD,1
67,Abimbola,TORRES,Bimbo,TORRES,1
68,Abisola,PETERSON,Bisi,PETERSON,1
69,Abisola,GRAY,Bisola,GRAY,1
70,Abner,RAMIREZ,Abbe,RAMIREZ,1
71,Aboli,JAMES,Abdol,JAMES,1
72,Aboli,WATSON,Abdoli,WATSON,1
73,Aboli,BROOKS,Abdollah,BROOKS,1
74,Abosede,KELLY,Bose,KELLY,1
75,Abosede,SANDERS,Bosede,SANDERS,1
76,Abraham,PRICE,Abe,PRICE,1
77,Abraham,BENNETT,Abram,BENNETT,1
78,Abraham,WOOD,Avi,WOOD,1
79,Abraham,BARNES,Avraham,BARNES,1
80,Abraham,ROSS,Bram,ROSS,1
81,Absalom,HENDERSON,Abbe,HENDERSON,1
82,Aca,COLEMAN,Aco,COLEMAN,1
83,Aca,JENKINS,Aleks,JENKINS,1
84,Aca,PERRY,Aleksa,PERRY,1
85,Acho,POWELL,Angel,POWELL,1
86,Acia,LONG,Gracia,LONG,1
87,Acia,PATTERSON,Gracie,PATTERSON,1
88,Acia,HUGHES,Reba,HUGHES,1
89,Acia,FLORES,Ruby,FLORES,1
90,Acika,WASHINGTON,Aleks,WASHINGTON,1
91,Acika,BUTLER,Aleksandra,BUTLER,1
92,Acika,SIMMONS,Aleksic,SIMMONS,1
93,Acika,FOSTER,Sandra,FOSTER,1
94,Acika,GONZALES,Saska,GONZALES,1
95,Acuille,BRYANT,Quil,BRYANT,1
96,Acuille,ALEXANDER,Quille,ALEXANDER,1
97,Ad,RUSSELL,Adam,RUSSELL,1
98,Ad,GRIFFIN,Ade,GRIFFIN,1
99,Ad,DIAZ,Adelbert,DIAZ,1
100,Ad,HAYES,Ado,HAYES,1
101,Ad,MYERS,Adolf,MYERS,1
102,Ad,FORD,Adoph,FORD,1
103,Ad,HAMILTON,Albert,HAMILTON,1
104,Ad,GRAHAM,Delbert,GRAHAM,1
105,Ad,SULLIVAN,Dolph,SULLIVAN,1
106,Ad,WALLACE,Ede,WALLACE,1
107,Ad,WOODS,Elbert,WOODS,1
108,Ad,COLE,Olph,COLE,1
109,Ad,WEST,Rolf,WEST,1
110,Ad,JORDAN,Rollo,JORDAN,1
111,Ad,OWENS,Rudolph,OWENS,1
112,Ad,REYNOLDS,Rudolphus,REYNOLDS,1
113,Ada,FISHER,Adela,FISHER,1
114,Ada,ELLIS,Adelaide,ELLIS,1
115,Ada,HARRISON,Adina,HARRISON,1
116,Ada,GIBSON,Delia,GIBSON,1
117,Ada,MCDONALD,Dell,MCDONALD,1
118,Ada,CRUZ,Edith,CRUZ,1
119,Adaline,MARSHALL,Ada,MARSHALL,1
120,Adaline,ORTIZ,Adela,ORTIZ,1
121,Adaline,GOMEZ,Adelaide,GOMEZ,1
122,Adaline,MURRAY,Adele,MURRAY,1
123,Adaline,FREEMAN,Adeliza,FREEMAN,1
124,Adaline,WELLS,Delia,WELLS,1
125,Adaline,WEBB,Dell,WEBB,1
126,Adaline,SIMPSON,Edith,SIMPSON,1
127,Adam,STEVENS,Adas,STEVENS,1
128,Adam,TUCKER,Ede,TUCKER,1
129,Adas,PORTER,Ada,PORTER,1
130,Adde,HUNTER,Ada,HUNTER,1
131,Adde,HICKS,Adaline,HICKS,1
132,Adde,CRAWFORD,Adam,CRAWFORD,1
133,Adde,HENRY,Adela,HENRY,1
134,Adde,BOYD,Adelaide,BOYD,1
135,Adde,MASON,Adele,MASON,1
136,Adde,MORALES,Adelia,MORALES,1
137,Adde,KENNEDY,Adeline,KENNEDY,1
138,Adde,WARREN,Adeliza,WARREN,1
139,Adde,DIXON,Adelphia,DIXON,1
140,Adde,RAMOS,Agatha,RAMOS,1
141,Adde,REYES,Agnes,REYES,1
142,Adde,BURNS,Aline,BURNS,1
143,Adde,GORDON,Delia,GORDON,1
144,Adde,SHAW,Dell,SHAW,1
145,Adde,HOLMES,Edith,HOLMES,1
146,Adde,RICE,Elizabeth,RICE,1
147,Adde,ROBERTSON,Heide,ROBERTSON,1
148,Adde,HUNT,Lena,HUNT,1
149,Adde,BLACK,Liza,BLACK,1
150,Adde,DANIELS,Phille,DANIELS,1
151,Addie,PALMER,Adelaide,PALMER,1
152,Ade,MILLS,Ad,MILLS,1
153,Ade,NICHOLS,Adam,NICHOLS,1
154,Ade,GRANT,Albert,GRANT,1
155,Ade,KNIGHT,Ede,KNIGHT,1
156,Ade,FERGUSON,Elbert,FERGUSON,1
157,Adela,ROSE,Adelaide,ROSE,1
158,Adelbert,STONE,Ade,STONE,1
159,Adelbert,HAWKINS,Al,HAWKINS,1
160,Adelbert,DUNN,Albert,DUNN,1
161,Adelbert,PERKINS,Bird,PERKINS,1
162,Adelbert,HUDSON,Elbert,HUDSON,1
163,Adele,SPENCER,Adela,SPENCER,1
164,Adele,GARDNER,Adelaide,GARDNER,1
165,Adele,STEPHENS,Adeliza,STEPHENS,1
166,Adele,PAYNE,Adelphia,PAYNE,1
167,Adele,PIERCE,Dell,PIERCE,1
168,Adelia,BERRY,Adaline,BERRY,1
169,Adelia,MATTHEWS,Adela,MATTHEWS,1
170,Adelia,ARNOLD,Adelaide,ARNOLD,1
171,Adelia,WAGNER,Adele,WAGNER,1
172,Adelia,WILLIS,Adeliza,WILLIS,1
173,Adelia,RAY,Dell,RAY,1
174,Adelia,WATKINS,Elizabeth,WATKINS,1
175,Adelia,OLSON,Heide,OLSON,1
176,Adelia,CARROLL,Liza,CARROLL,1
177,Adeline,DUNCAN,Adaline,DUNCAN,1
178,Adeline,SNYDER,Adela,SNYDER,1
179,Adeline,HART,Adelaide,HART,1
180,Adeline,CUNNINGHAM,Adele,CUNNINGHAM,1
181,Adeline,BRADLEY,Adelia,BRADLEY,1
182,Adeline,LANE,Adeliza,LANE,1
183,Adeline,ANDREWS,Adelphia,ANDREWS,1
184,Adeline,RUIZ,Dell,RUIZ,1
185,Adeline,HARPER,Elizabeth,HARPER,1
186,Adeline,FOX,Heide,FOX,1
187,Adeline,RILEY,Liza,RILEY,1
188,Adeline,ARMSTRONG,Phille,ARMSTRONG,1
189,Adeliza,CARPENTER,Adela,CARPENTER,1
190,Adeliza,WEAVER,Adelaide,WEAVER,1
191,Adina,GREENE,Adela,GREENE,1
